model,item,cond,graph_id,rung,query_type,story_id,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,PROSE,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,,0,0,144,700,
gpt-4.1-nano,2,PROSE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,,0,0,154,700,
gpt-4.1-nano,1,PROSE,IV,1,correlation,water_cholera,PSEUDO,no,yes,0,1,146,488,
gpt-4.1-nano,0,DR_k1,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,158,475,
gpt-4.1-nano,0,RAW,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,110,220,
gpt-4.1-nano,1,RAW,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,111,295,
gpt-4.1-nano,1,DR_k1,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,161,427,
gpt-4.1-nano,1,ORACLE,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,161,454,
gpt-4.1-nano,0,ORACLE,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,159,521,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,119,465,
gpt-4.1-nano,2,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,162,700,
gpt-4.1-nano,2,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,169,700,
gpt-4.1-nano,1,ED_k3,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,137,393,
gpt-4.1-nano,0,FE_k1,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,162,387,
gpt-4.1-nano,1,DR_k2,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,160,413,
gpt-4.1-nano,0,FE_k2,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,165,449,
gpt-4.1-nano,0,ED_k3,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,136,334,
gpt-4.1-nano,1,DR_k3,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,160,366,
gpt-4.1-nano,3,PROSE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,153,406,
gpt-4.1-nano,3,RAW,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,118,285,
gpt-4.1-nano,3,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,168,420,
gpt-4.1-nano,3,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,169,483,
gpt-4.1-nano,0,ED_k2,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,yes,0,1,146,373,
gpt-4.1-nano,1,FE_k2,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,167,444,
gpt-4.1-nano,1,ED_k2,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,147,377,
gpt-4.1-nano,2,DR_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,170,700,
gpt-4.1-nano,1,FE_k1,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,165,459,
gpt-4.1-nano,0,ED_k1,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,149,527,
gpt-4.1-nano,0,DR_k2,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,159,265,
gpt-4.1-nano,4,PROSE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,155,320,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,119,253,
gpt-4.1-nano,4,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,170,422,
gpt-4.1-nano,4,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,170,472,
gpt-4.1-nano,1,ED_k1,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,150,563,
gpt-4.1-nano,3,ED_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,157,399,
gpt-4.1-nano,2,FE_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,172,700,
gpt-4.1-nano,2,FE_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,176,700,
gpt-4.1-nano,0,DR_k3,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,no,no,1,1,159,472,
gpt-4.1-nano,4,DR_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,163,264,
gpt-4.1-nano,3,DR_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,170,407,
gpt-4.1-nano,5,PROSE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,152,336,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,118,249,
gpt-4.1-nano,5,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,168,330,
gpt-4.1-nano,5,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,168,334,
gpt-4.1-nano,4,DR_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,163,342,
gpt-4.1-nano,3,ED_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,154,479,
gpt-4.1-nano,4,ED_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,166,275,
gpt-4.1-nano,3,ED_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,143,307,
gpt-4.1-nano,5,ED_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,143,235,
gpt-4.1-nano,2,ED_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,145,597,
gpt-4.1-nano,3,DR_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,170,422,
gpt-4.1-nano,3,FE_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,171,422,
gpt-4.1-nano,3,FE_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,174,422,
gpt-4.1-nano,2,DR_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,170,700,
gpt-4.1-nano,2,ED_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,156,655,
gpt-4.1-nano,2,ED_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,no,0,1,159,700,
gpt-4.1-nano,5,DR_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,167,326,
gpt-4.1-nano,4,ED_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,148,428,
gpt-4.1-nano,5,DR_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,168,334,
gpt-4.1-nano,5,FE_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,171,349,
gpt-4.1-nano,5,FE_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,174,347,
gpt-4.1-nano,5,ED_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,158,345,
gpt-4.1-nano,4,FE_k1,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,173,431,
gpt-4.1-nano,4,ED_k3,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,145,455,
gpt-4.1-nano,4,FE_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,no,no,1,1,177,414,
gpt-4.1-nano,5,ED_k2,IV,1,marginal,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,155,399,
gpt-4.1-nano,7,RAW,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,115,233,
gpt-4.1-nano,7,DR_k1,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,168,307,
gpt-4.1-nano,6,RAW,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,116,700,
gpt-4.1-nano,6,PROSE,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,149,477,
gpt-4.1-nano,7,ORACLE,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,168,520,
gpt-4.1-nano,6,DR_k1,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,157,700,
gpt-4.1-nano,7,PROSE,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,153,454,
gpt-4.1-nano,6,DR_k2,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,157,700,
gpt-4.1-nano,6,FE_k2,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,170,700,
gpt-4.1-nano,6,DR_k3,IV,1,marginal,college_wage,PSEUDO,no,yes,0,1,157,605,
gpt-4.1-nano,6,ORACLE,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,164,700,
gpt-4.1-nano,6,ED_k1,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,161,700,
