model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,yes,0,1,103,174,
gpt-4.1-nano,1,RAW_CLEAN,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,103,228,
gpt-4.1-nano,2,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,111,575,
gpt-4.1-nano,3,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,110,281,
gpt-4.1-nano,4,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,yes,0,1,112,186,
gpt-4.1-nano,5,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,110,235,
gpt-4.1-nano,6,RAW_CLEAN,IV,1,marginal,college_wage,anticommonsense,PSEUDO,no,no,1,1,109,315,
gpt-4.1-nano,7,RAW_CLEAN,IV,1,correlation,water_cholera,anticommonsense,PSEUDO,no,no,1,1,107,232,
gpt-4.1-nano,8,RAW_CLEAN,IV,1,correlation,price,anticommonsense,PSEUDO,yes,yes,1,1,106,276,
gpt-4.1-nano,9,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,106,288,
gpt-4.1-nano,10,RAW_CLEAN,IV,1,marginal,cholesterol,hard,PSEUDO,no,no,1,1,113,668,
gpt-4.1-nano,11,RAW_CLEAN,IV,1,correlation,water_cholera,hard,PSEUDO,yes,yes,1,1,107,187,
gpt-4.1-nano,12,RAW_CLEAN,IV,1,correlation,cholesterol,hard,PSEUDO,yes,no,0,1,103,301,
gpt-4.1-nano,13,RAW_CLEAN,IV,1,marginal,price,anticommonsense,PSEUDO,yes,yes,1,1,113,224,
gpt-4.1-nano,14,RAW_CLEAN,IV,1,marginal,price,anticommonsense,PSEUDO,no,no,1,1,113,283,
gpt-4.1-nano,15,RAW_CLEAN,IV,1,correlation,cholesterol,anticommonsense,PSEUDO,no,no,1,1,103,195,
gpt-4.1-nano,16,RAW_CLEAN,IV,1,correlation,price,easy,PSEUDO,yes,yes,1,1,103,187,
gpt-4.1-nano,17,RAW_CLEAN,IV,1,correlation,cholesterol,hard,PSEUDO,yes,yes,1,1,106,216,
gpt-4.1-nano,18,RAW_CLEAN,IV,1,marginal,water_cholera,anticommonsense,PSEUDO,no,no,1,1,118,341,
gpt-4.1-nano,19,RAW_CLEAN,IV,2,backadj,price,easy,PSEUDO,no,no,1,1,117,3,
gpt-4.1-nano,20,RAW_CLEAN,IV,2,ate,price,hard,PSEUDO,yes,yes,1,1,137,161,
gpt-4.1-nano,21,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,128,246,
gpt-4.1-nano,22,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,118,3,
gpt-4.1-nano,23,RAW_CLEAN,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,135,401,
gpt-4.1-nano,24,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,131,365,
gpt-4.1-nano,25,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,PSEUDO,yes,no,0,1,122,3,
gpt-4.1-nano,26,RAW_CLEAN,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,135,159,
gpt-4.1-nano,27,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,PSEUDO,no,no,1,1,116,3,
gpt-4.1-nano,28,RAW_CLEAN,IV,2,backadj,price,hard,PSEUDO,yes,no,0,1,125,3,
gpt-4.1-nano,29,RAW_CLEAN,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,135,620,
gpt-4.1-nano,30,RAW_CLEAN,IV,2,backadj,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,122,3,
gpt-4.1-nano,31,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,116,3,
gpt-4.1-nano,32,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,,0,0,140,700,
gpt-4.1-nano,33,RAW_CLEAN,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,134,454,
gpt-4.1-nano,34,RAW_CLEAN,IV,2,ate,college_wage,anticommonsense,PSEUDO,yes,yes,1,1,128,537,
gpt-4.1-nano,35,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,140,578,
gpt-4.1-nano,36,RAW_CLEAN,IV,2,backadj,cholesterol,easy,PSEUDO,yes,no,0,1,125,3,
gpt-4.1-nano,37,RAW_CLEAN,IV,2,ate,price,easy,PSEUDO,no,no,1,1,137,172,
gpt-4.1-nano,38,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,106,352,
gpt-4.1-nano,39,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,,0,0,107,700,
gpt-4.1-nano,40,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,PSEUDO,yes,yes,1,1,114,380,
gpt-4.1-nano,41,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,yes,yes,1,1,106,332,
gpt-4.1-nano,42,RAW_CLEAN,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,107,264,
gpt-4.1-nano,43,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,PSEUDO,yes,yes,1,1,104,176,
gpt-4.1-nano,44,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,commonsense,PSEUDO,no,no,1,1,110,503,
gpt-4.1-nano,45,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,commonsense,PSEUDO,no,no,1,1,113,277,
gpt-4.1-nano,46,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,PSEUDO,no,no,1,1,110,446,
gpt-4.1-nano,47,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,yes,no,0,1,108,308,
gpt-4.1-nano,48,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,PSEUDO,yes,yes,1,1,107,415,
gpt-4.1-nano,49,RAW_CLEAN,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,no,yes,0,1,109,181,
gpt-4.1-nano,50,RAW_CLEAN,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,103,197,
gpt-4.1-nano,51,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,PSEUDO,yes,yes,1,1,107,450,
gpt-4.1-nano,52,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,PSEUDO,no,no,1,1,106,505,
gpt-4.1-nano,53,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,PSEUDO,yes,yes,1,1,108,372,
gpt-4.1-nano,54,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,PSEUDO,no,no,1,1,108,376,
gpt-4.1-nano,55,RAW_CLEAN,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,109,485,
gpt-4.1-nano,56,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,commonsense,PSEUDO,no,no,1,1,110,234,
gpt-4.1-nano,57,RAW_CLEAN,arrowhead,1,marginal,gender_pay,anticommonsense,PSEUDO,no,no,1,1,111,282,
gpt-4.1-nano,58,RAW_CLEAN,arrowhead,1,correlation,obesity_mortality,easy,PSEUDO,no,no,1,1,103,288,
gpt-4.1-nano,59,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,easy,PSEUDO,no,no,1,1,108,211,
gpt-4.1-nano,60,RAW_CLEAN,arrowhead,1,marginal,nature_vs_nurture,hard,PSEUDO,no,no,1,1,108,317,
