model,lexicon,cond,item,old_pred,new_pred,old_correct,new_correct
gpt-4.1-nano,KEEP,RAW,20,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,20,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,20,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,21,no,yes,1,0
gpt-4.1-nano,KEEP,ORACLE,21,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,21,no,no,1,1
gpt-4.1-nano,KEEP,RAW,23,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,23,no,,1,0
gpt-4.1-nano,KEEP,DR_k1,23,no,no,1,1
gpt-4.1-nano,KEEP,RAW,24,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,24,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,24,,no,0,0
gpt-4.1-nano,KEEP,RAW,26,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,26,yes,,1,0
gpt-4.1-nano,KEEP,DR_k1,26,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,29,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,29,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,29,,no,0,1
gpt-4.1-nano,KEEP,RAW,32,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,32,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,32,no,no,1,1
gpt-4.1-nano,KEEP,RAW,33,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,33,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,33,no,no,0,0
gpt-4.1-nano,KEEP,RAW,34,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,34,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,34,no,no,0,0
gpt-4.1-nano,KEEP,RAW,35,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,35,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,35,no,no,0,0
gpt-4.1-nano,KEEP,RAW,37,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,37,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,37,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,39,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,39,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,39,,no,0,1
gpt-4.1-nano,KEEP,RAW,40,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,40,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,40,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,41,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,41,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,41,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,42,no,yes,1,0
gpt-4.1-nano,KEEP,ORACLE,42,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,42,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,43,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,43,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,43,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,44,yes,yes,0,0
gpt-4.1-nano,KEEP,ORACLE,44,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,44,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,45,yes,no,0,1
gpt-4.1-nano,KEEP,ORACLE,45,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,45,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,46,yes,no,0,1
gpt-4.1-nano,KEEP,ORACLE,46,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,46,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,47,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,47,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,47,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,48,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,48,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,48,no,no,0,0
gpt-4.1-nano,KEEP,RAW,49,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,49,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,49,no,no,1,1
gpt-4.1-nano,KEEP,RAW,50,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,50,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,50,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,51,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,51,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,51,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,52,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,52,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,52,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,53,yes,yes,1,1
