model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,29,1591,ORACLE,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,210,551,,Novita,stop,0,0.00024875,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,KEEP,no,no,1,1,156,588,,Novita,stop,0,0.00025626,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,33,18628,RAW,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,150,771,,Novita,stop,0,0.00032865,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,34,17061,PROSE,IV,2,ate,college_wage,anticommonsense,KEEP,yes,yes,1,1,197,475,,Novita,stop,0,0.000216595,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,97,7102,RAW,arrowhead,3,nde,gender_admission_state,hard,KEEP,yes,yes,1,1,268,718,,Novita,stop,0,0.00032338,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,103,13224,RAW,arrowhead,3,nie,nature_vs_nurture,anticommonsense,KEEP,yes,no,0,1,282,508,,Novita,stop,0,0.00024127,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,105,13526,RAW,arrowhead,3,nde,obesity_mortality,anticommonsense,KEEP,yes,yes,1,1,247,727,,Novita,stop,0,0.000324145,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,105,13526,ORACLE,arrowhead,3,nde,obesity_mortality,anticommonsense,KEEP,yes,yes,1,1,293,594,,Novita,stop,0,0.000277155,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,108,2437,DR_k1,arrowhead,3,nde,gender_admission_state,easy,KEEP,no,no,1,1,320,808,,Novita,stop,0,0.0003664,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,111,12722,RAW,arrowhead,3,nde,gender_admission_state,anticommonsense,KEEP,yes,yes,1,1,268,1116,,Novita,stop,0,0.00048258,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,112,4093,PROSE,arrowhead,3,nde,smoke_birthWeight,easy,KEEP,no,no,1,1,320,598,,Novita,stop,0,0.0002824,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,112,4093,RAW,arrowhead,3,nde,smoke_birthWeight,easy,KEEP,no,yes,0,1,276,1213,,Novita,stop,0,0.00052246,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,152,14393,ORACLE,confounding,3,ett,simpson_vaccine,anticommonsense,KEEP,yes,no,0,1,234,624,,Novita,stop,0,0.00028119,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,153,20516,PROSE,confounding,3,det-counterfactual,simpson_kidneystone,anticommonsense,KEEP,no,no,1,1,131,328,,Novita,stop,0,0.000148885,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,162,3766,ORACLE,confounding,3,ett,simpson_kidneystone,easy,KEEP,no,no,1,1,208,832,,Novita,stop,0,0.00036088,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,169,18799,PROSE,confounding,3,ett,simpson_drug,anticommonsense,KEEP,yes,yes,1,1,200,672,,Novita,stop,0,0.0002958,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,170,19117,RAW,confounding,3,ett,simpson_vaccine,anticommonsense,KEEP,yes,yes,1,1,194,696,,Novita,stop,0,0.00030459,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,266,5173,RAW,diamondcut,3,ett,firing_employee,hard,KEEP,yes,no,0,1,228,870,,Novita,stop,0,0.00037878,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,269,308,PROSE,diamondcut,3,ett,firing_employee,easy,KEEP,no,yes,0,1,254,775,,Novita,stop,0,0.00034429,content,0.0,1500
