family,analysis,test,quantity,predicted,estimate_pp,ci_lo,ci_hi,ci90_lo,ci90_hi,p_boot,p_holm,p_min_seeds,p_max_seeds,n_items,verdict
gpt,primary,H1,DiD [(KEEP - PSEUDO) | RAW] - [(KEEP - PSEUDO) | ORACLE],positive,2.67,-1.15,6.54,,,0.1685,0.1685,0.1685,0.192,475,not confirmed
gpt,primary,H2,PSEUDO: ORACLE minus DR_k1,positive,2.93,0.0,5.87,,,0.053,0.106,0.05,0.065,479,not confirmed
gpt,primary,H3a,"RAW: IRRELEVANT minus PERMUTE, equivalent within 5 pp",within +-5 pp,-0.36,-3.21,2.37,-2.77,1.99,0.0005,0.003,0.0003,0.0015,484,confirmed
gpt,primary,H3b,RAW: KEEP minus SYMBOL,positive,11.61,8.33,14.92,,,0.0005,0.003,0.0005,0.0005,482,confirmed
gpt,primary,H4-KEEP,"slope per reversed edge, estimand-changing items, KEEP",negative,-3.05,-4.94,-1.18,,,0.0025,0.01,0.0005,0.0025,290,confirmed
gpt,primary,H4-PSEUDO,"slope per reversed edge, estimand-changing items, PSEUDO",negative,-3.41,-5.58,-1.34,,,0.003,0.01,0.001,0.003,293,confirmed
gpt,unparsed scored as wrong,H1,DiD [(KEEP - PSEUDO) | RAW] - [(KEEP - PSEUDO) | ORACLE],positive,3.44,-0.28,7.16,,,0.0775,0.0775,0.0665,0.0785,484,not confirmed
gpt,unparsed scored as wrong,H2,PSEUDO: ORACLE minus DR_k1,positive,3.51,0.76,6.34,,,0.0145,0.029,0.014,0.018,484,confirmed
gpt,unparsed scored as wrong,H3a,"RAW: IRRELEVANT minus PERMUTE, equivalent within 5 pp",within +-5 pp,0.9,-2.0,3.65,-1.58,3.24,0.0008,0.003,0.0008,0.0032,484,confirmed
gpt,unparsed scored as wrong,H3b,RAW: KEEP minus SYMBOL,positive,9.71,6.2,13.02,,,0.0005,0.003,0.0005,0.0005,484,confirmed
gpt,unparsed scored as wrong,H4-KEEP,"slope per reversed edge, estimand-changing items, KEEP",negative,-3.47,-5.31,-1.62,,,0.0005,0.003,0.0005,0.0005,298,confirmed
gpt,unparsed scored as wrong,H4-PSEUDO,"slope per reversed edge, estimand-changing items, PSEUDO",negative,-3.52,-5.48,-1.57,,,0.0005,0.003,0.0005,0.0005,298,confirmed
