model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,102,339,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,102,185,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,112,433,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,107,158,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,6,17025,RAW,IV,1,marginal,college_wage,anticommonsense,SYMBOL,no,no,1,1,109,269,
gpt-4.1-nano,7,15193,RAW,IV,1,correlation,water_cholera,anticommonsense,SYMBOL,no,no,1,1,102,314,
gpt-4.1-nano,8,13861,RAW,IV,1,correlation,price,anticommonsense,SYMBOL,yes,yes,1,1,102,183,
gpt-4.1-nano,9,19761,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,102,178,
gpt-4.1-nano,10,6400,RAW,IV,1,marginal,cholesterol,hard,SYMBOL,no,no,1,1,114,370,
gpt-4.1-nano,11,9438,RAW,IV,1,correlation,water_cholera,hard,SYMBOL,yes,yes,1,1,102,300,
gpt-4.1-nano,12,6402,RAW,IV,1,correlation,cholesterol,hard,SYMBOL,yes,yes,1,1,102,197,
gpt-4.1-nano,13,18644,RAW,IV,1,marginal,price,anticommonsense,SYMBOL,yes,yes,1,1,112,188,
gpt-4.1-nano,14,18624,RAW,IV,1,marginal,price,anticommonsense,SYMBOL,no,no,1,1,112,202,
gpt-4.1-nano,15,12019,RAW,IV,1,correlation,cholesterol,anticommonsense,SYMBOL,no,no,1,1,102,219,
gpt-4.1-nano,16,3469,RAW,IV,1,correlation,price,easy,SYMBOL,yes,yes,1,1,102,183,
gpt-4.1-nano,17,6363,RAW,IV,1,correlation,cholesterol,hard,SYMBOL,yes,yes,1,1,102,306,
gpt-4.1-nano,18,19821,RAW,IV,1,marginal,water_cholera,anticommonsense,SYMBOL,no,no,1,1,110,331,
gpt-4.1-nano,19,3516,RAW,IV,1,marginal,price,easy,SYMBOL,no,no,1,1,107,264,
gpt-4.1-nano,20,8239,RAW,IV,2,ate,price,hard,SYMBOL,yes,yes,1,1,130,228,
gpt-4.1-nano,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,124,495,
gpt-4.1-nano,22,12014,RAW,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,no,1,1,132,513,
gpt-4.1-nano,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,124,428,
gpt-4.1-nano,25,16984,RAW,IV,2,backadj,college_wage,anticommonsense,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,26,6588,RAW,IV,2,ate,college_wage,hard,SYMBOL,yes,yes,1,1,124,369,
gpt-4.1-nano,27,12201,RAW,IV,2,backadj,college_wage,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,28,8284,RAW,IV,2,backadj,price,hard,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,29,1591,RAW,IV,2,ate,cholesterol,easy,SYMBOL,no,no,1,1,132,208,
gpt-4.1-nano,30,4713,RAW,IV,2,backadj,tax_smoke_birthWeight,easy,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,31,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,132,356,
gpt-4.1-nano,33,18628,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,130,221,
gpt-4.1-nano,34,17061,RAW,IV,2,ate,college_wage,anticommonsense,SYMBOL,yes,no,0,1,124,384,
gpt-4.1-nano,35,15152,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,132,507,
gpt-4.1-nano,36,1653,RAW,IV,2,backadj,cholesterol,easy,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,37,3443,RAW,IV,2,ate,price,easy,SYMBOL,no,no,1,1,130,193,
gpt-4.1-nano,38,1628,RAW,IV,2,backadj,cholesterol,easy,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,39,1668,RAW,IV,2,ate,cholesterol,easy,SYMBOL,no,no,1,1,132,175,
gpt-4.1-nano,40,20200,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,SYMBOL,yes,yes,1,1,100,259,
gpt-4.1-nano,41,9719,RAW,IV,3,det-counterfactual,cholesterol,commonsense,SYMBOL,yes,yes,1,1,101,284,
gpt-4.1-nano,42,10021,RAW,IV,3,det-counterfactual,price,commonsense,SYMBOL,no,no,1,1,102,323,
gpt-4.1-nano,43,9798,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,yes,yes,1,1,99,286,
gpt-4.1-nano,44,10379,RAW,IV,3,det-counterfactual,water_cholera,commonsense,SYMBOL,no,no,1,1,105,367,
gpt-4.1-nano,45,10366,RAW,IV,3,det-counterfactual,water_cholera,commonsense,SYMBOL,no,no,1,1,105,428,
gpt-4.1-nano,46,9799,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,yes,0,1,100,357,
