model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-5.6-luna,36,13899,RAW,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,143,524,
gpt-5.6-luna,36,13899,ORACLE,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,186,1586,
gpt-5.6-luna,36,13899,DR_k1,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,187,337,
gpt-5.6-luna,36,13899,DR_k2,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,187,1013,
gpt-5.6-luna,36,13899,DR_k3,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,181,1678,
gpt-5.6-luna,37,9467,RAW,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,146,402,
gpt-5.6-luna,37,9467,ORACLE,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,194,524,
gpt-5.6-luna,37,9467,DR_k1,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,193,287,
gpt-5.6-luna,37,9467,DR_k2,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,192,578,
gpt-5.6-luna,37,9467,DR_k3,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,192,287,
gpt-5.6-luna,38,8277,RAW,IV,2,ate,price,hard,KEEP,no,no,1,1,143,557,
gpt-5.6-luna,38,8277,ORACLE,IV,2,ate,price,hard,KEEP,no,no,1,1,186,584,
gpt-5.6-luna,38,8277,DR_k1,IV,2,ate,price,hard,KEEP,no,no,1,1,186,264,
gpt-5.6-luna,38,8277,DR_k2,IV,2,ate,price,hard,KEEP,no,no,1,1,186,564,
gpt-5.6-luna,38,8277,DR_k3,IV,2,ate,price,hard,KEEP,no,no,1,1,186,555,
gpt-5.6-luna,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,145,240,
gpt-5.6-luna,42,16786,ORACLE,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,200,524,
gpt-5.6-luna,42,16786,DR_k1,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,202,260,
gpt-5.6-luna,42,16786,DR_k2,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,206,524,
gpt-5.6-luna,42,16786,DR_k3,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,206,361,
gpt-5.6-luna,44,18686,RAW,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,143,1042,
gpt-5.6-luna,44,18686,ORACLE,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,189,1078,
gpt-5.6-luna,44,18686,DR_k1,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,189,238,
gpt-5.6-luna,44,18686,DR_k2,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,189,297,
gpt-5.6-luna,44,18686,DR_k3,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,189,322,
gpt-5.6-luna,50,6665,RAW,IV,2,ate,college_wage,hard,KEEP,yes,no,0,1,150,524,
