model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,397,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,158,650,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,143,487,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,124,319,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,111,281,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,169,477,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,369,
gpt-4.1-nano,1,4782,ED_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,146,474,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,159,353,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,175,317,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,406,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,130,304,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,181,364,
gpt-4.1-nano,1,4782,ED_k1,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,149,358,
gpt-4.1-nano,0,19800,ED_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,168,419,
gpt-4.1-nano,0,19800,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,183,450,
gpt-4.1-nano,1,4782,FE_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,164,460,
gpt-4.1-nano,2,19758,DR_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,193,400,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,173,391,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,127,253,
