model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,159,442,,Novita,stop,0,0.000198265,content,0.0,700
meta-llama/llama-3.3-70b-instruct,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,121,355,,Novita,stop,0,0.000158335,content,0.0,700
meta-llama/llama-3.3-70b-instruct,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,174,349,,Novita,stop,0,0.00016309,content,0.0,700
meta-llama/llama-3.3-70b-instruct,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,175,343,,Novita,stop,0,0.000160825,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,PROSE,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,157,635,,Novita,stop,0,0.000275195,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,RAW,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,120,367,,Novita,stop,0,0.000163,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,PSEUDO,no,,0,0,172,700,,Novita,length,0,0.00030322,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,PSEUDO,no,,0,0,173,700,,Novita,length,0,0.000303355,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,161,468,,Novita,stop,0,0.000208935,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,125,700,,Novita,length,0,0.000296875,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,176,620,,Novita,stop,0,0.00027176,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,169,644,,Novita,stop,0,0.000280415,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,294,,Novita,stop,0,0.00014028,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,129,227,,Novita,stop,0,0.000108215,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,183,360,,Novita,stop,0,0.000168705,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,183,332,,Novita,stop,0,0.000157505,content,0.0,700
meta-llama/llama-3.3-70b-instruct,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,169,235,,Novita,stop,0,0.000116815,content,0.0,700
meta-llama/llama-3.3-70b-instruct,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,129,364,,Novita,stop,0,0.000163015,content,0.0,700
meta-llama/llama-3.3-70b-instruct,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,184,306,,Novita,stop,0,0.00014724,content,0.0,700
meta-llama/llama-3.3-70b-instruct,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,183,390,,Novita,stop,0,0.000180705,content,0.0,700
meta-llama/llama-3.3-70b-instruct,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,169,300,,Novita,stop,0,0.000142815,content,0.0,700
meta-llama/llama-3.3-70b-instruct,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,129,244,,Novita,stop,0,0.000115015,content,0.0,700
meta-llama/llama-3.3-70b-instruct,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,184,304,,Novita,stop,0,0.00014644,content,0.0,700
meta-llama/llama-3.3-70b-instruct,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,184,354,,Novita,stop,0,0.00016644,content,0.0,700
meta-llama/llama-3.3-70b-instruct,6,16813,PROSE,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,170,148,,Novita,stop,0,8.215e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,6,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,yes,0,1,132,108,,Novita,stop,0,6.102e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,6,16813,ORACLE,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,185,248,,Novita,stop,0,0.000124175,content,0.0,700
meta-llama/llama-3.3-70b-instruct,6,16813,DR_k1,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,177,284,,Novita,stop,0,0.000137495,content,0.0,700
meta-llama/llama-3.3-70b-instruct,7,15133,PROSE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,195,580,,Novita,stop,0,0.000258325,content,0.0,700
meta-llama/llama-3.3-70b-instruct,7,15133,RAW,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,157,358,,Novita,stop,0,0.000164395,content,0.0,700
meta-llama/llama-3.3-70b-instruct,7,15133,ORACLE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,yes,0,1,210,497,,Novita,stop,0,0.00022715,content,0.0,700
meta-llama/llama-3.3-70b-instruct,7,15133,DR_k1,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,yes,0,1,211,307,,Novita,stop,0,0.000151285,content,0.0,700
meta-llama/llama-3.3-70b-instruct,8,13835,PROSE,IV,2,ate,price,anticommonsense,PSEUDO,no,,0,0,191,700,,Novita,length,0,0.000305785,content,0.0,700
meta-llama/llama-3.3-70b-instruct,8,13835,RAW,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,153,274,,Novita,stop,0,0.000130255,content,0.0,700
meta-llama/llama-3.3-70b-instruct,8,13835,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,no,yes,0,1,206,491,,Novita,stop,0,0.00022421,content,0.0,700
meta-llama/llama-3.3-70b-instruct,8,13835,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,yes,0,1,198,303,,Novita,stop,0,0.00014793,content,0.0,700
meta-llama/llama-3.3-70b-instruct,9,19839,PROSE,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,173,219,,Novita,stop,0,0.000110955,content,0.0,700
meta-llama/llama-3.3-70b-instruct,9,19839,RAW,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,136,131,,Novita,stop,0,7.076e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,9,19839,ORACLE,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,188,291,,Novita,stop,0,0.00014178,content,0.0,700
meta-llama/llama-3.3-70b-instruct,9,19839,DR_k1,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,180,261,,Novita,stop,0,0.0001287,content,0.0,700
meta-llama/llama-3.3-70b-instruct,10,4741,PROSE,IV,2,ate,water_cholera,easy,PSEUDO,no,yes,0,1,200,624,,Novita,stop,0,0.0002766,content,0.0,700
