item,story,cond,lexicon,gold,n_nodes,has_data,path,model,pred,parsed,correct,in_tok,out_tok,error
6,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",DR_k1,PSEUDO,no,3,True,True,gpt-4.1,no,1,1,172,223,
6,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",ORACLE,PSEUDO,no,3,True,True,gpt-4.1,no,1,1,164,236,
6,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",RAW,PSEUDO,no,3,True,True,gpt-4.1,no,1,1,135,3,
7,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",DR_k1,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,163,131,
7,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",ORACLE,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,170,157,
7,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",RAW,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,134,142,
8,"amount of money saved | financial return on investment | investment in stocks || AB,AC,BC",DR_k1,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,180,160,
8,"amount of money saved | financial return on investment | investment in stocks || AB,AC,BC",ORACLE,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,179,151,
8,"amount of money saved | financial return on investment | investment in stocks || AB,AC,BC",RAW,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,138,3,
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",DR_k1,PSEUDO,yes,3,True,True,gpt-4.1,no,1,0,171,218,
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",ORACLE,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,171,176,
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",RAW,PSEUDO,yes,3,True,True,gpt-4.1,yes,1,1,134,65,
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",DR_k1,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,173,137,
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",ORACLE,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,180,198,
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",RAW,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,134,104,
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",DR_k1,PSEUDO,no,3,False,False,gpt-4.1,no,1,1,129,73,
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",ORACLE,PSEUDO,no,3,False,False,gpt-4.1,no,1,1,122,144,
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",RAW,PSEUDO,no,3,False,False,gpt-4.1,no,1,1,92,44,
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",DR_k1,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,287,447,
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",ORACLE,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,287,580,
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",RAW,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,235,581,
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",DR_k1,PSEUDO,no,4,False,False,gpt-4.1,no,1,1,141,209,
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",ORACLE,PSEUDO,no,4,False,False,gpt-4.1,no,1,1,141,257,
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",RAW,PSEUDO,no,4,False,False,gpt-4.1,,0,0,90,24,
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",DR_k1,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,177,162,
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",ORACLE,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,184,162,
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",RAW,PSEUDO,no,4,True,True,gpt-4.1,no,1,1,134,53,
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",DR_k1,PSEUDO,no,5,True,True,gpt-4.1,no,1,1,296,671,
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",ORACLE,PSEUDO,no,5,True,True,gpt-4.1,no,1,1,296,630,
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",RAW,PSEUDO,no,5,True,True,gpt-4.1,no,1,1,226,560,
51,"employment status | happiness level | income | level of education || AB,AC,AD",DR_k1,PSEUDO,no,4,False,False,gpt-4.1,no,1,1,136,165,
51,"employment status | happiness level | income | level of education || AB,AC,AD",ORACLE,PSEUDO,no,4,False,False,gpt-4.1,no,1,1,128,160,
51,"employment status | happiness level | income | level of education || AB,AC,AD",RAW,PSEUDO,no,4,False,False,gpt-4.1,no,1,1,94,3,
