model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,172,564,,Novita,stop,0,0.00024882,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,173,480,,Novita,stop,0,0.000215355,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,125,558,,Novita,stop,0,0.000240075,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,8,13835,PROSE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,191,411,,Novita,stop,0,0.000190185,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,18,3257,PROSE,arrowhead,1,marginal,obesity_mortality,easy,PSEUDO,no,no,1,1,167,582,,Novita,stop,0,0.000255345,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,40,16918,DR_k1,chain,1,marginal,college_salary,anticommonsense,PSEUDO,no,no,1,1,148,566,,Novita,stop,0,0.00024638,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,59,2769,ORACLE,collision,1,exp_away,man_in_relationship,easy,PSEUDO,yes,no,0,1,218,665,,Novita,stop,0,0.00029543,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,105,323,PROSE,diamondcut,1,marginal,firing_employee,easy,PSEUDO,yes,yes,1,1,157,738,,Novita,stop,0,0.000316395,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,105,323,DR_k1,diamondcut,1,marginal,firing_employee,easy,PSEUDO,yes,yes,1,1,172,997,,Novita,stop,0,0.00042202,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,106,10667,RAW,diamondcut,1,marginal,firing_employee,anticommonsense,PSEUDO,yes,no,0,1,116,697,,Novita,stop,0,0.00029446,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,115,10764,RAW,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,222,700,,Novita,stop,0,0.00030997,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,119,10718,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,282,697,,Novita,stop,0,0.00031687,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,119,10718,DR_k1,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,282,760,,Novita,stop,0,0.00034207,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,120,5508,ORACLE,fork,1,correlation,forest_fire,hard,PSEUDO,no,no,1,1,155,721,,Novita,stop,0,0.000309325,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,120,5508,DR_k1,fork,1,correlation,forest_fire,hard,PSEUDO,no,yes,0,1,154,821,,Novita,stop,0,0.00034919,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,136,940,RAW,fork,3,ett,getting_tanned,easy,PSEUDO,no,yes,0,1,128,460,,Novita,stop,0,0.00020128,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,136,940,ORACLE,fork,3,ett,getting_tanned,easy,PSEUDO,no,no,1,1,164,714,,Novita,stop,0,0.00030774,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,137,5054,ORACLE,fork,3,ett,candle,hard,PSEUDO,no,no,1,1,167,635,,Novita,stop,0,0.000276545,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,138,8978,ORACLE,frontdoor,1,marginal,smoking_frontdoor,hard,PSEUDO,no,no,1,1,174,811,,Novita,stop,0,0.00034789,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,138,8978,DR_k1,frontdoor,1,marginal,smoking_frontdoor,hard,PSEUDO,no,no,1,1,166,685,,Novita,stop,0,0.00029641,content,0.0,1500
