model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,20,8239,PROSE,IV,2,ate,price,hard,KEEP,yes,no,0,1,178,326,,Novita,stop,0,0.00015443,content,0.0,700
meta-llama/llama-3.3-70b-instruct,20,8239,RAW,IV,2,ate,price,hard,KEEP,yes,no,0,1,150,512,,Novita,stop,0,0.00022505,content,0.0,700
meta-llama/llama-3.3-70b-instruct,20,8239,ORACLE,IV,2,ate,price,hard,KEEP,yes,no,0,1,193,533,,Novita,stop,0,0.000239255,content,0.0,700
meta-llama/llama-3.3-70b-instruct,20,8239,DR_k1,IV,2,ate,price,hard,KEEP,yes,no,0,1,193,399,,Novita,stop,0,0.000185655,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,PROSE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,202,430,,Novita,stop,0,0.00019927,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,156,298,,Novita,stop,0,0.00014026,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,ORACLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,217,413,,Novita,stop,0,0.000194495,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,DR_k1,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,220,462,,Novita,stop,0,0.0002145,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,PROSE,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,192,337,,Novita,stop,0,0.00016072,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,152,531,,Novita,stop,0,0.00023292,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,ORACLE,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,207,576,,Novita,stop,0,0.000258345,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,DR_k1,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,208,305,,Novita,stop,0,0.00015008,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,PROSE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,202,269,,Novita,stop,0,0.00013487,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,156,425,,Novita,stop,0,0.00019106,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,ORACLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,217,302,,Novita,stop,0,0.000150095,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,DR_k1,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,220,370,,Novita,stop,0,0.0001777,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,PROSE,IV,2,ate,college_wage,hard,KEEP,yes,yes,1,1,195,491,,Novita,stop,0,0.000222725,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,RAW,IV,2,ate,college_wage,hard,KEEP,yes,yes,1,1,157,342,,Novita,stop,0,0.000157995,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,ORACLE,IV,2,ate,college_wage,hard,KEEP,yes,no,0,1,210,535,,Novita,stop,0,0.00024235,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,DR_k1,IV,2,ate,college_wage,hard,KEEP,yes,yes,1,1,214,596,,Novita,stop,0,0.00026729,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,PROSE,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,195,537,,Novita,stop,0,0.000241125,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,RAW,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,158,488,,Novita,stop,0,0.00021653,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,ORACLE,IV,2,ate,cholesterol,easy,KEEP,no,,0,0,210,700,,Novita,length,0,0.00030835,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,DR_k1,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,203,682,,Novita,stop,0,0.000300205,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,PROSE,IV,2,ate,water_cholera,anticommonsense,KEEP,no,yes,0,1,192,499,,Novita,stop,0,0.00022552,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,KEEP,no,,0,0,156,700,,Novita,length,0,0.00030106,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,ORACLE,IV,2,ate,water_cholera,anticommonsense,KEEP,no,yes,0,1,207,383,,Novita,stop,0,0.000181145,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,DR_k1,IV,2,ate,water_cholera,anticommonsense,KEEP,no,yes,0,1,199,416,,Novita,stop,0,0.000193265,content,0.0,700
meta-llama/llama-3.3-70b-instruct,33,18628,PROSE,IV,2,ate,price,anticommonsense,KEEP,yes,yes,1,1,181,686,,Novita,stop,0,0.000298835,content,0.0,700
meta-llama/llama-3.3-70b-instruct,33,18628,RAW,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,150,700,,Novita,length,0,0.00030025,content,0.0,700
