model,item,id,graph_id,rung,gold,pred,correct,parsed_answer,parsed_graph,precision,recall,f1,n_reversed,n_spurious,n_missing,n_wrong_edges,exact_match,n_true
gpt-4.1-nano,0,9441,IV,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,4,4,0,4
gpt-4.1-nano,1,9342,IV,1,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,2,18616,IV,1,no,no,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,3,9402,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,4,28935,IV,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,5,12007,IV,1,yes,yes,1,1,1,0.75,0.75,0.75,0,1,1,2,0,4
gpt-4.1-nano,6,18678,IV,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,7,11979,IV,2,yes,no,0,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,8,23255,IV,2,no,yes,0,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,9,4741,IV,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,10,9466,IV,2,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,11,6674,IV,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,12,15098,IV,2,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,13,24102,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,14,20181,IV,3,no,yes,0,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,15,30671,IV,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,16,20703,IV,3,no,no,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,17,9728,IV,3,yes,yes,1,1,0,0.0,0.0,0.0,0,0,4,4,0,4
gpt-4.1-nano,18,20132,IV,3,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,19,9799,IV,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,20,10050,IV,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,21,2536,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,22,2937,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,23,29413,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,24,2359,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,25,7733,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,26,4401,arrowhead,1,no,yes,0,1,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,27,18087,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,28,17600,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,29,4113,arrowhead,2,no,no,1,1,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-nano,30,2482,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,31,28517,arrowhead,2,no,yes,0,1,1,0.75,0.6,0.6666666666666665,0,1,2,3,0,5
gpt-4.1-nano,32,9160,arrowhead,2,no,no,1,1,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-nano,33,28946,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
