item,story,mode,gold,n_nodes,has_data,used
1,"employee performance | mental health | sales performance | traffic congestion || AB,AC,BC,BD,CD",RANDOM,no,4,True,0
2,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
3,"htwb | jcwu | qguu | resg || AD,BD,CD",FAKE,no,4,False,0
4,"air pressure | apearance | education level || AB,BC",RANDOM,yes,3,True,0
5,"icux | mqrw | qeld | rztp || AC,AD,BC",FAKE,no,4,False,0
6,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",REAL,no,3,True,1
7,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",REAL,yes,3,True,1
8,"amount of money saved | financial return on investment | investment in stocks || AB,AC,BC",REAL,yes,3,True,1
9,"blood pressure | government policies | severity of respiratory illnesses | work-life balance || AD,BD,CD",RANDOM,no,4,False,0
10,"htwb | jcwu | qguu | resg || AD,BD,CD",FAKE,no,4,False,0
11,"bjtk | clwv | dmfl | tvkj || AB,BC,CD",FAKE,no,4,True,0
12,"job satisfaction | mental health | quality of teaching | sales performance || AC,BC,CD",RANDOM,no,4,False,0
13,"amount of exercise | blood pressure | income level | quality of teaching || AB,BC,BD,CD",RANDOM,no,4,True,0
14,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
15,"hdqy | ivje | qmiv | uoeb || AB,AD,BD,CD",FAKE,no,4,False,0
16,"amount of exercise | humidity level | quality of teaching | temperature || AB,AC,BC,BD",RANDOM,no,4,False,0
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",REAL,yes,3,True,1
18,"exxp | hnzi | mlhx | ovlq | wtel || AC,BC,CD,ED",FAKE,no,5,False,0
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",REAL,no,4,True,1
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",REAL,no,3,False,1
21,"ftog | jazt | kdns || AB,BC",FAKE,no,3,True,0
22,"aemv | qftw | wurj | yglq || AB,AC,AD,BC,CD",FAKE,yes,4,True,0
23,"aefz | aopv | nuko | uttn | zsuj || AB,AE,BC,BD,CD,CE,DE",FAKE,no,5,False,0
24,"dliz | iipq | kyfi | uoni || AD,BC,CD",FAKE,no,4,False,0
25,"abcp | bdan | xuoo || AB,BC",FAKE,no,3,False,0
