id,matched,n_scm,printed_fits_true,printed_fits_faulty,max_dev_true,max_dev_faulty,wald_true,wald_printed,sign_differs,label,reasoning_value,label_follows_reasoning,label_follows_true
1587,True,2,False,True,0.0119,0.0039,0.1782,0.186,False,yes,0.2,True,True
1588,True,2,False,True,0.0119,0.0039,0.1782,0.186,False,no,0.2,True,True
1591,True,2,True,True,0.0014,0.0014,-0.2947,-0.2973,False,no,-0.29,True,True
1613,True,2,True,True,0.0049,0.0019,-0.0465,-0.0741,False,no,-0.07,True,True
1618,True,2,True,True,0.0044,0.0049,-0.0924,-0.0968,False,yes,-0.11,True,True
1636,True,2,True,True,0.0043,0.0026,0.1068,0.0833,False,no,0.09,True,True
1641,True,2,True,True,0.0013,0.004,-0.1027,-0.1064,False,yes,-0.1,True,True
1668,True,2,True,True,0.0028,0.0021,0.3854,0.3902,False,no,0.38,True,True
1835,True,2,True,True,0.0027,0.0027,0.5009,0.5128,False,yes,0.5,True,True
1856,True,2,True,True,0.0035,0.0045,0.6214,0.6286,False,yes,0.62,True,True
1859,True,2,True,True,0.0038,0.0038,0.3256,0.32,False,no,0.31,True,True
1884,True,2,False,True,0.0053,0.0047,0.4207,0.4286,False,yes,0.42,True,True
3443,True,2,False,True,0.0071,0.0029,-0.3982,-0.4048,False,no,-0.4,True,True
3452,True,2,True,True,0.004,0.0026,-0.4684,-0.4706,False,no,-0.47,True,True
3462,True,2,True,True,0.0017,0.0014,-0.2458,-0.2333,False,no,-0.24,True,True
3472,True,2,True,True,0.0004,0.0007,-0.4148,-0.4118,False,yes,-0.42,True,True
3484,True,2,False,True,0.0076,0.0046,-0.2318,-0.25,False,no,-0.23,True,True
3507,True,2,True,True,0.0046,0.0049,-0.2023,-0.2045,False,no,-0.2,True,True
4636,True,2,True,True,0.0036,0.001,-0.3884,-0.3793,False,yes,-0.39,True,True
4665,True,2,False,True,0.0078,0.0042,-0.2821,-0.3143,False,no,-0.29,True,True
4667,True,2,False,True,0.013,0.0043,-0.5815,-0.6296,False,no,-0.61,True,True
4685,True,2,True,True,0.0045,0.0035,-0.2553,-0.2727,False,yes,-0.26,True,True
