model,lexicon,n,f1,f1_vs_KEEP,p_wilcoxon,exactly_correct,reversed_edges,ratio,missing_edges
gpt-4.1-nano,KEEP,174,0.462,0.0,,0.132,0.069,1.0,1.93
gpt-4.1-nano,PERMUTE,174,0.384,-0.078,0.0203,0.086,0.351,5.1,1.94
gpt-4.1-nano,SYMBOL,174,0.509,0.046,0.0314,0.138,0.155,2.2,1.7
gpt-4.1-nano,PSEUDO,174,0.438,-0.024,0.4672,0.115,0.115,1.7,1.96
gpt-4.1-mini,KEEP,174,0.608,0.0,,0.276,0.069,1.0,1.42
gpt-4.1-mini,PERMUTE,174,0.424,-0.183,0.0,0.144,0.529,7.7,1.52
gpt-4.1-mini,SYMBOL,174,0.508,-0.1,0.0002,0.184,0.092,1.3,1.79
gpt-4.1-mini,PSEUDO,174,0.505,-0.103,0.0001,0.19,0.109,1.6,1.76
gpt-4.1,KEEP,174,0.565,0.0,,0.264,0.046,1.0,1.63
gpt-4.1,PERMUTE,174,0.406,-0.159,0.0,0.121,0.316,6.9,1.86
gpt-4.1,SYMBOL,174,0.502,-0.062,0.0114,0.161,0.126,2.8,1.76
gpt-4.1,PSEUDO,174,0.458,-0.106,0.0,0.161,0.098,2.1,1.93
