model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,12,6402,PROSE,IV,1,correlation,cholesterol,hard,PSEUDO,yes,no,0,1,145,625,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,161,454,
gpt-4.1-nano,10,6400,PROSE,IV,1,marginal,cholesterol,hard,PSEUDO,no,no,1,1,157,700,
gpt-4.1-nano,6,17025,ORACLE,IV,1,marginal,college_wage,anticommonsense,PSEUDO,no,no,1,1,164,700,
gpt-4.1-nano,11,9438,DR_k1,IV,1,correlation,water_cholera,hard,PSEUDO,yes,yes,1,1,157,432,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,,0,0,154,700,
gpt-4.1-nano,9,19761,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,157,407,
gpt-4.1-nano,7,15193,DR_k1,IV,1,correlation,water_cholera,anticommonsense,PSEUDO,no,no,1,1,168,307,
gpt-4.1-nano,17,6363,ORACLE,IV,1,correlation,cholesterol,hard,PSEUDO,yes,yes,1,1,163,409,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,158,475,
gpt-4.1-nano,11,9438,ORACLE,IV,1,correlation,water_cholera,hard,PSEUDO,yes,yes,1,1,165,455,
gpt-4.1-nano,9,19761,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,164,429,
gpt-4.1-nano,7,15193,ORACLE,IV,1,correlation,water_cholera,anticommonsense,PSEUDO,no,no,1,1,168,520,
gpt-4.1-nano,17,6363,RAW,IV,1,correlation,cholesterol,hard,PSEUDO,yes,yes,1,1,113,187,
gpt-4.1-nano,13,18644,RAW,IV,1,marginal,price,anticommonsense,PSEUDO,yes,yes,1,1,120,248,
gpt-4.1-nano,11,9438,RAW,IV,1,correlation,water_cholera,hard,PSEUDO,yes,yes,1,1,114,430,
gpt-4.1-nano,9,19761,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,114,343,
gpt-4.1-nano,7,15193,RAW,IV,1,correlation,water_cholera,anticommonsense,PSEUDO,no,no,1,1,115,233,
gpt-4.1-nano,13,18644,PROSE,IV,1,marginal,price,anticommonsense,PSEUDO,yes,yes,1,1,154,270,
gpt-4.1-nano,11,9438,PROSE,IV,1,correlation,water_cholera,hard,PSEUDO,yes,yes,1,1,150,650,
gpt-4.1-nano,9,19761,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,150,431,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,118,285,
gpt-4.1-nano,7,15193,PROSE,IV,1,correlation,water_cholera,anticommonsense,PSEUDO,no,no,1,1,153,454,
gpt-4.1-nano,16,3469,DR_k1,IV,1,correlation,price,easy,PSEUDO,yes,yes,1,1,153,411,
gpt-4.1-nano,12,6402,DR_k1,IV,1,correlation,cholesterol,hard,PSEUDO,yes,yes,1,1,160,378,
gpt-4.1-nano,10,6400,DR_k1,IV,1,marginal,cholesterol,hard,PSEUDO,no,no,1,1,171,572,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,118,249,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,155,320,
gpt-4.1-nano,6,17025,DR_k1,IV,1,marginal,college_wage,anticommonsense,PSEUDO,no,no,1,1,157,700,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,334,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,170,422,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,153,406,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,111,295,
