sample,item,id,lexicon,family,query_type,cond,k,estimand_unchanged,route,implied_answer,gold,gold_is_true_answer,n_scm,group,vs_ORACLE,vs_RAW
price400,20,8239,KEEP,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-0.6666666666666666
price400,20,8239,KEEP,IV,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.3333333333333333
price400,20,8239,KEEP,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,20,8239,PSEUDO,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,0.0
price400,20,8239,PSEUDO,IV,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,20,8239,PSEUDO,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.6666666666666666
price400,21,19806,KEEP,IV,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,21,19806,KEEP,IV,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,21,19806,KEEP,IV,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,21,19806,PSEUDO,IV,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,21,19806,PSEUDO,IV,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,21,19806,PSEUDO,IV,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,23,16818,KEEP,IV,ate,DR_k1,1,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,23,16818,KEEP,IV,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",-0.3333333333333333,-0.3333333333333333
price400,23,16818,KEEP,IV,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,23,16818,PSEUDO,IV,ate,DR_k1,1,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,23,16818,PSEUDO,IV,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,23,16818,PSEUDO,IV,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
