item,story,cond,lexicon,gold,n_nodes,has_data,path,model,pred,parsed,correct,in_tok,out_tok,error,provider,finish,usd,max_tokens
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,244,781,,Novita,stop,0.00034534,1500
165,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,244,665,,Novita,stop,0.00029894,1500
165,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,299,616,,Novita,stop,0.000286765,1500
220,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,305,572,,Novita,stop,0.000269975,1500
359,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",DR_k1,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,287,643,,Novita,stop,0.000295945,1500
367,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",DR_k1,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,316,591,,Novita,stop,0.00027906,1500
532,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",ORACLE,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,312,503,,Novita,stop,0.00024332,1500
556,"child's education level | child's health status | child's social skills | parents' income || AB,AC,AD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,140,502,,Novita,stop,0.0002197,1500
565,"the amount of rainfall | the growth rate of plants | the yield of crops || AB,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,131,102,,Novita,stop,5.8485e-05,1500
575,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,PSEUDO,no,5,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,258,,Novita,stop,0.0001167,1500
577,"the amount of rainfall | the growth of crops | the water level of a river || AB,AC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,126,72,,Novita,stop,4.581e-05,1500
581,"the amount of rainfall | the amount of water in a reservoir | the availability of drinking water | the water level in a river || AB,AD,BC,BD,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,152,103,,Novita,stop,6.172e-05,1500
585,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,144,160,,Novita,stop,8.344e-05,1500
585,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,191,126,,Novita,stop,7.6185e-05,1500
590,"overall health condition | physical fitness level | time spent exercising || AB,AC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,137,198,,Novita,stop,9.7695e-05,1500
620,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,98,120,,Novita,stop,6.123e-05,1500
622,"access to medical facilities | education level | healthcare coverage | income level | overall health status || AC,AE,BC,BE,CD,CE,DE",RAW,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,252,571,,Novita,stop,0.00026242,1500
637,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,138,200,,Novita,stop,9.863e-05,1500
642,"education level | happiness level | income level | job performance || AB,AC,BD,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,242,,Novita,stop,0.00011003,1500
642,"education level | happiness level | income level | job performance || AB,AC,BD,CD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,151,145,,Novita,stop,7.8385e-05,1500
646,"amount of rainfall | likelihood of flooding | water level in a river || AB,BC",ORACLE,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,177,136,,Novita,stop,7.8295e-05,1500
652,"education level | income level | job satisfaction | quality of life || AC,AD,BC,BD,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,154,648,,Novita,stop,0.00027999,1500
684,"investment in advertising | number of website visits | sales revenue || AB,AC,BC",ORACLE,PSEUDO,no,3,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,278,724,,Novita,stop,0.00032713,1500
706,"whether a person gets a good grade in the course | whether a person passes the exam | whether a person studies for an exam || AB,AC,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,141,238,,Novita,stop,0.000114235,1500
728,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,242,,Novita,stop,0.0001103,1500
