item,id
0,19800
1,4782
2,19758
3,4655
4,9401
5,4711
6,17025
7,15193
8,13861
9,19761
10,6400
11,9438
12,6402
13,18644
14,18624
15,12019
16,3469
17,6363
18,19821
19,3516
20,8239
21,19806
22,12014
23,16818
24,19796
25,16984
26,6588
27,12201
28,8284
29,1591
30,4713
31,16813
32,15108
33,18628
34,17061
35,15152
36,1653
37,3443
38,1628
39,1668
40,20200
41,9719
42,10021
43,9798
44,10379
45,10366
46,9799
47,9728
48,20193
49,10313
50,20727
51,20195
52,9789
53,20175
54,9795
55,10041
56,10355
57,20702
58,9821
59,10044
60,7633
61,2455
62,13299
63,12888
64,7372
65,2611
66,7390
67,9093
68,17810
69,17809
70,8061
71,4065
72,17701
73,4477
74,4417
75,7605
76,2320
77,13364
78,7315
79,13288
80,7378
81,13538
82,9160
83,2848
84,7592
85,7396
86,2590
87,13650
88,2574
89,2323
90,8091
91,2504
92,19581
93,17803
94,8876
95,7208
96,13558
97,12938
98,3204
99,14870
100,4365
101,3245
102,20288
103,20269
104,13224
105,9178
106,13526
107,2480
108,17732
109,2437
110,14506
111,3206
112,12722
113,4093
114,14729
115,20273
116,7216
117,19297
118,17697
119,9075
120,13813
121,9262
122,4520
123,3346
124,13712
125,8194
126,9318
127,16865
128,18576
129,8168
130,1773
131,9333
132,18494
133,8165
134,12190
135,18596
136,1698
137,13759
138,12091
139,16849
140,3299
141,3406
142,9234
143,9264
144,6539
145,16941
146,3310
147,6518
148,18539
149,12149
150,18495
151,13792
152,19619
153,1680
154,16903
155,4535
156,14961
157,3298
158,1676
159,12078
160,1716
161,4583
162,9245
163,3350
164,14940
165,19671
166,20403
167,20690
168,19659
169,8162
170,16869
171,12121
172,14908
173,19660
174,19664
175,1738
176,16853
177,20396
178,18584
179,16837
180,13202
181,13026
182,17868
183,12365
184,17905
185,1926
186,16715
187,17843
188,1567
189,1505
190,6696
191,1547
192,7453
193,17106
194,2797
195,11969
196,13024
197,6351
198,6323
199,13084
200,6295
201,13039
202,16661
203,17087
204,12300
205,7518
206,13146
207,13169
208,17829
209,12334
210,7576
211,2659
212,17146
213,7448
214,2676
215,2737
216,17877
217,11890
218,6688
219,17131
220,8614
221,18767
222,19079
223,3947
224,18962
225,3842
226,8727
227,3926
228,14201
229,14171
230,18812
231,3801
232,13983
233,14352
234,3740
235,3720
236,18711
237,14137
238,14020
239,8708
240,18810
241,8349
242,8514
243,14401
244,19002
245,14363
246,8686
247,18761
248,14143
249,8439
250,3613
251,14018
252,13996
253,8414
254,8745
255,18884
256,13971
257,8487
258,13998
259,14319
260,18887
261,20493
262,10063
263,8718
264,10151
265,10167
266,20506
267,14177
268,19014
269,20562
270,10153
271,8314
272,20490
273,18739
274,20494
275,3994
276,10086
277,14102
278,20458
279,20508
280,16410
281,5339
282,10830
283,1299
284,15686
285,10904
286,10848
287,1315
288,5230
289,15761
290,5372
291,458
292,16456
293,10819
294,1247
295,595
296,15742
297,11041
298,15605
299,15598
300,15847
301,630
302,15592
303,10974
304,591
305,15717
306,5343
307,10807
308,5408
309,16416
310,5392
311,15734
312,1268
313,612
314,10956
315,10979
316,5357
317,16366
318,10965
319,11649
320,1181
321,9589
322,15589
323,9610
324,11697
325,11055
326,11580
327,5352
328,15653
329,11017
330,1260
331,10840
332,9597
333,16443
334,518
335,11023
336,11061
337,6020
338,610
339,1253
340,15554
341,10744
342,5097
343,15523
344,10767
345,374
346,5120
347,10710
348,10701
349,15582
350,5145
351,10696
352,15533
353,15563
354,386
355,356
356,5135
357,10728
358,289
359,348
360,349
361,287
362,15562
363,15552
364,10722
365,10713
366,15483
367,5143
368,340
369,286
370,5137
371,15502
372,15505
373,15542
374,5121
375,15529
376,15516
377,15520
378,5126
379,15574
380,351
381,19972
382,10719
383,19977
384,15575
385,19953
386,10718
387,278
388,10764
389,10771
390,15530
391,19960
392,10689
393,346
394,5122
395,19961
396,19967
397,10742
398,15514
399,19968
400,11073
401,11294
402,15935
403,11103
404,10580
405,16185
406,15884
407,15462
408,16080
409,1005
410,15979
411,11127
412,736
413,4972
414,851
415,15913
416,11329
417,11100
418,687
419,16112
420,15863
421,5497
422,5796
423,15378
424,15384
425,5053
426,1002
427,800
428,213
429,5691
430,5533
431,10659
432,5055
433,5667
434,11391
435,740
436,11089
437,962
438,11217
439,5789
440,940
441,20015
442,5776
443,5724
444,898
445,15380
446,20031
447,20040
448,20033
449,734
450,20055
451,11126
452,16087
453,20010
454,19938
455,9548
456,19936
457,11115
458,5551
459,5689
460,9033
461,9005
462,19428
463,4202
464,19371
465,4272
466,9043
467,4239
468,8919
469,4205
470,4281
471,4192
472,8973
473,14574
474,9038
475,9021
476,14685
477,8982
478,19414
479,8983
480,19362
481,19337
482,14621
483,14665
484,8970
485,19404
486,4302
487,8951
488,19318
489,14570
490,14676
491,4171
492,14638
493,14591
494,8971
495,14609
496,19349
497,4166
498,19368
499,4274
500,10233
501,19352
502,14577
503,4208
504,14663
505,10239
506,14565
507,4220
508,14593
509,14660
510,8972
511,10227
512,14689
513,14619
514,9048
515,19332
516,10238
517,4270
518,20640
519,14623
520,2234
521,12626
522,2167
523,2106
524,13382
525,17284
526,12554
527,16517
528,17418
529,17392
530,11504
531,6158
532,1342
533,5935
534,15306
535,17443
536,17324
537,17186
538,17337
539,5904
540,10519
541,2995
542,2255
543,3030
544,12563
545,1349
546,66
547,12650
548,11462
549,10508
550,12488
551,15255
552,10426
553,12561
554,13477
555,11461
556,2164
557,17454
558,6947
559,18316
560,17335
561,1071
562,12465
563,9850
564,6984
565,21
566,9708
567,12508
568,9525
569,1439
570,1011
571,17408
572,32
573,6200
574,20355
575,10417
576,16215
577,20243
578,9843
579,3002
